700,700,600,600,500,500,400,400,300,300,200,200,100,100
100.6711409,50,90.60402685,50,90.60402685,55,30.20134228,55,10.06711409,60,30.20134228,65,60.40268456,75
191.2751678,55,211.409396,55,211.409396,60,181.2080537,60,151.0067114,65,211.409396,70,241.6107383,80
291.9463087,60,271.8120805,60,291.9463087,65,251.6778523,65,251.6778523,70,291.9463087,75,422.8187919,85
412.7516779,65,352.3489933,65,362.4161074,70,332.2147651,70,352.3489933,75,382.5503356,80,573.8255034,87.5
493.2885906,70,442.9530201,70,513.4228188,75,422.8187919,75,503.3557047,80,593.9597315,85,1026.845638,90
684.5637584,75,563.7583893,75,684.5637584,80,573.8255034,80,765.1006711,85,815.4362416,87.5,3614.09396,92
966.442953,80,815.4362416,80,1077.181208,85,906.0402685,85,996.6442953,87.5,1187.919463,90,3724.832215,93
1489.932886,85,1238.255034,85,1399.328859,87.5,1177.852349,87.5,1429.530201,90,1872.483221,92,4973.154362,93
,,1661.073826,87.5,1993.288591,90,1701.342282,90,2114.09396,92,2476.510067,93,5466.442953,92
,,2325.503356,90,2808.724832,92,2446.308725,92,2748.322148,93,3251.677852,94,,
,,2637.583893,92,2949.66443,93,2979.865772,93,3412.751678,94,3533.557047,95,,
,,3080.536913,87.5,3765.100671,93,3171.14094,94,3654.362416,95,4570.469799,95,,
,,,,4077.181208,87.5,4137.583893,94,4197.986577,95,5677.852349,94,,
,,,,,,4791.946309,93,5093.959732,94,,,,
,,,,,,5053.691275,87.5,5959.731544,93,,,,
