600,600,300,300,200,200,100,100
90.60402685,50,10.06711409,60,30.20134228,65,60.40268456,75
211.409396,55,151.0067114,65,211.409396,70,241.6107383,80
271.8120805,60,251.6778523,70,291.9463087,75,422.8187919,85
352.3489933,65,352.3489933,75,382.5503356,80,573.8255034,87.5
442.9530201,70,503.3557047,80,593.9597315,85,1026.845638,90
563.7583893,75,765.1006711,85,815.4362416,87.5,3614.09396,92
815.4362416,80,996.6442953,87.5,1187.919463,90,3724.832215,93
1238.255034,85,1429.530201,90,1872.483221,92,4973.154362,93
1661.073826,87.5,2114.09396,92,2476.510067,93,5466.442953,92
2325.503356,90,2748.322148,93,3251.677852,94,,
2637.583893,92,3412.751678,94,3533.557047,95,,
3080.536913,87.5,3654.362416,95,4570.469799,95,,
,,4197.986577,95,5677.852349,94,,
,,5093.959732,94,,,,
,,5959.731544,93,,,,
