SOC,V
95.96259722,4.124827405
90.33994582,4.055719654
80.26100382,3.947589502
69.99213493,3.857537359
60.1066154,3.749401381
50.23158263,3.695481954
30.10108072,3.62078709
9.961839844,3.500911766
